h2_kwh_per_kg,pressure_bar,conversion,n2_recovery,electricity_usd_mwh,lcoa_usd_per_t,specific_kwh_kg,renewable_kgco2_kg,feasible
48,125,0.12,0.88,60,1011.9654288896669,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.88,75,1171.1654831064968,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.88,90,1330.365537323327,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.92,30,693.5653204560064,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.92,45,852.7653746728366,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.92,60,1011.9654288896669,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.92,75,1171.1654831064968,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.92,90,1330.365537323327,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.96,30,693.5653204560064,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.96,45,852.7653746728366,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.96,60,1011.9654288896669,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.96,75,1171.1654831064968,10.613336947788678,0.5306668473894339,True
48,125,0.12,0.96,90,1330.365537323327,10.613336947788678,0.5306668473894339,True
48,125,0.16,0.88,30,680.971308472538,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.88,45,833.8743566976339,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.88,60,986.7774049227297,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.88,75,1139.6804531478258,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.88,90,1292.5835013729215,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.92,30,680.971308472538,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.92,45,833.8743566976339,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.92,60,986.7774049227297,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.92,75,1139.6804531478258,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.92,90,1292.5835013729215,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.96,30,680.971308472538,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.96,45,833.8743566976339,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.96,60,986.7774049227297,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.96,75,1139.6804531478258,10.193536548339727,0.5096768274169864,True
48,125,0.16,0.96,90,1292.5835013729215,10.193536548339727,0.5096768274169864,True
